2019.06.15 17:44:29.234 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@4747357f With pool 4.
2019.06.15 17:44:29.236 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 17:45:50.845 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@1922062d With pool 4.
2019.06.15 17:45:50.847 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 17:51:40.045 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@183424f7 With pool 4.
2019.06.15 17:51:40.048 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 17:52:06.927 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@66e424b4 With pool 4.
2019.06.15 17:52:06.929 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 17:55:17.769 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@24057972 With pool 4.
2019.06.15 17:55:17.771 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:01:44.791 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@600a9d4b With pool 4.
2019.06.15 18:01:44.793 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:05:54.770 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@600a9d4b With pool 4.
2019.06.15 18:05:54.773 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:06:16.404 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@398527e5 With pool 4.
2019.06.15 18:06:16.406 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:08:03.544 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@14a28163 With pool 4.
2019.06.15 18:08:03.546 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:08:06.865 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@77615f8e With pool 4.
2019.06.15 18:08:06.866 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:08:08.862 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@592bdd82 With pool 4.
2019.06.15 18:08:08.862 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:08:10.851 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@60759f1a With pool 4.
2019.06.15 18:08:10.851 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:08:35.429 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@7cd491a0 With pool 4.
2019.06.15 18:08:35.433 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:10:39.636 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@398527e5 With pool 4.
2019.06.15 18:10:39.639 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:12:33.925 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@398527e5 With pool 4.
2019.06.15 18:12:33.927 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:16:23.217 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@24057972 With pool 4.
2019.06.15 18:16:23.219 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:17:11.664 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@14a28163 With pool 4.
2019.06.15 18:17:11.666 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:18:18.226 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@24057972 With pool 4.
2019.06.15 18:18:18.229 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:18:43.484 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@24057972 With pool 4.
2019.06.15 18:18:43.486 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:21:43.625 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@600a9d4b With pool 4.
2019.06.15 18:21:43.630 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:21:46.519 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@3287c1c6 With pool 4.
2019.06.15 18:21:46.519 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:22:29.484 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@3d07bcec With pool 4.
2019.06.15 18:22:29.491 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:24:30.702 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@7cd491a0 With pool 4.
2019.06.15 18:24:30.705 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:24:32.418 INFO  Model.MyModel - Cient connected to server with port 5401 via strategy Model.MyModel$2@e5c3cfa With pool 4.
2019.06.15 18:24:32.422 INFO  Model.MyModel - Cient solved a maze via DFS solving strategy. Maze was solved in 13 steps.
2019.06.15 18:24:48.095 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@600a9d4b With pool 4.
2019.06.15 18:24:48.097 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:24:55.064 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@66fdc8e9 With pool 4.
2019.06.15 18:24:55.064 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:26:04.252 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@6163d921 With pool 4.
2019.06.15 18:26:04.254 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:27:26.906 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@4ea6a768 With pool 4.
2019.06.15 18:27:26.909 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
